Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
430.949,55,100,361.196,45.761,19.388,0,0,0
101.582,12,100,87.671,1.68,6.784,0,0,0
100.363,12,100,86.343,1.774,6.45,0,0,0
110.495,12,100,95.259,1.972,6.844,0,0,0
112.45,12,100,97.025,1.838,6.896,0,0,0
112.218,12,100,96.268,1.747,7.374,0,0,0
115.756,12,100,99.089,1.81,7.899,0,0,0
114.063,12,100,96.174,1.719,7.831,0,0,0
116.312,12,100,98.852,1.671,7.741,0,0,0
114.658,12,100,97.447,1.748,7.984,0,0,0
118.777,12,100,101.127,1.986,8.351,0,0,0
121.606,12,100,103.575,1.642,7.853,0,0,0
114.649,12,100,97.455,1.714,8.368,0,0,0
116.643,12,100,98.523,2.175,8.311,0,0,0
118.016,12,100,100.676,1.689,8.128,0,0,0
107.9,10,100,90.746,1.286,8.17,0,0,0
89.091,7,100,71.807,0.89,8.341,0,0,0
91.019,7,100,72.913,0.888,8.594,0,0,0
90.926,7,100,73.104,0.875,8.593,0,0,0
93.017,7,100,74.482,0.927,8.95,0,0,0
91.195,7,100,73.376,0.863,8.608,0,0,0
91.831,7,100,73.477,0.869,9.171,0,0,0
92.716,7,100,74.072,0.877,8.901,0,0,0
92.866,7,100,74.406,0.98,8.971,0,0,0
94.068,7,100,75.509,0.855,9.014,0,0,0
97.251,7,100,77.746,0.882,9.594,0,0,0
96.749,7,100,77.677,0.878,9.161,0,0,0
97.888,7,100,79.039,0.872,9.24,0,0,0
98.125,7,100,78.801,0.884,9.348,0,0,0
100.875,7,100,80.797,0.945,10.031,0,0,0
102.241,7,100,81.023,1.186,10.409,0,0,0
102.812,7,100,80.517,0.909,10.143,0,0,0
101.634,7,100,79.125,0.887,9.946,0,0,0
100.742,7,100,79.679,0.958,9.387,0,0,0
99.186,7,100,79.922,0.88,9.256,0,0,0
95.507,7,100,75.977,1.154,8.874,0,0,0
94.543,7,100,76.132,0.878,8.812,0,0,0
99.464,7,100,79.162,0.862,9.57,0,0,0
95.654,7,100,76.081,0.871,9.562,0,0,0
101.134,7,100,81.421,0.892,8.953,0,0,0
96.487,7,100,76.574,1.167,9.064,0,0,0
97.572,7,100,77.77,0.878,9.421,0,0,0
99.179,7,100,80.058,0.882,9.027,0,0,0
105.544,7,100,86.618,0.883,8.883,0,0,0
100.095,7,100,80.286,0.869,9.055,0,0,0
99.926,7,100,80.971,0.882,9.292,0,0,0
100.414,7,100,82.039,0.883,8.885,0,0,0
101.101,7,100,81.436,0.93,9.071,0,0,0
99.547,7,100,80.381,0.924,9.465,0,0,0
101.079,7,100,81.497,0.856,9.293,0,0,0
101.163,7,100,82.144,0.868,9.285,0,0,0
105.087,7,100,85.593,0.922,9.275,0,0,0
98.224,7,100,79.049,0.889,9.089,0,0,0
98.426,7,100,79.861,0.888,9.001,0,0,0
97.431,7,100,79.65,0.896,8.794,0,0,0
95.507,7,100,78.072,0.909,8.403,0,0,0
95.917,7,100,78.135,0.871,8.063,0,0,0
94.472,7,100,77.892,0.908,7.818,0,0,0
93.718,7,100,76.658,0.868,8.178,0,0,0
94.733,7,100,77.744,0.867,8.056,0,0,0
94.041,7,100,77.218,0.904,7.844,0,0,0
94.956,7,100,77.868,0.967,8.052,0,0,0
93.791,7,100,76.871,0.851,8.407,0,0,0
93.57,7,100,76.536,0.875,8.457,0,0,0
95.954,7,100,79.678,0.846,7.819,0,0,0
90.014,7,100,73.309,0.879,8.206,0,0,0
89.81,7,100,74.03,0.884,7.549,0,0,0
90.667,7,100,73.871,0.921,8.253,0,0,0
92.039,7,100,75.477,0.884,7.774,0,0,0
94.452,7,100,76.975,0.877,8.42,0,0,0
93.719,7,100,76.869,0.92,8.164,0,0,0
94.723,7,100,77.659,0.883,8.298,0,0,0
98.24,7,100,80.05,0.884,8.616,0,0,0
100.151,7,100,82.031,0.854,8.823,0,0,0
105.607,7,100,85.66,0.849,10.808,0,0,0
99.139,7,100,80.643,0.873,9.084,0,0,0
99.838,7,100,80.196,0.866,9.41,0,0,0
102.859,7,100,82.934,0.874,10.269,0,0,0
100.101,7,100,81.739,0.931,8.878,0,0,0
102.508,7,100,84.114,0.98,8.636,0,0,0
101.804,7,100,81.27,0.964,8.894,0,0,0
99.598,7,100,81.383,0.877,9.141,0,0,0
101.973,7,100,83.935,0.871,8.627,0,0,0
101.142,7,100,82.423,0.906,8.783,0,0,0
103.38,7,100,84.794,0.876,9.005,0,0,0
103.666,7,100,85.218,0.865,8.928,0,0,0
