Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
430.835,55,100,361.087,45.528,19.567,0,0,0
103.353,12,100,88.74,1.694,6.973,0,0,0
112.407,12,100,96.796,1.754,7.086,0,0,0
116.652,12,100,99.217,1.926,8.273,0,0,0
120.211,12,100,103.42,1.741,7.775,0,0,0
127.507,12,100,108.914,1.783,8.446,0,0,0
128.665,12,100,110.134,1.756,8.976,0,0,0
136.823,13,100,115.882,2.184,9.987,0,0,0
144.523,14,100,123.771,2.289,9.225,0,0,0
146.178,14,100,124.855,2.28,9.285,0,0,0
143.507,14,100,122.657,2.33,9.827,0,0,0
143.2,13,100,120.527,2.345,10.008,0,0,0
154.69,13,100,130.499,2.116,10.759,0,0,0
147.534,13,100,122.698,2.098,10.316,0,0,0
149.765,13,100,126.289,2.115,10.495,0,0,0
153.938,13,100,130.405,2.114,11.187,0,0,0
158.632,13,100,134.677,2.043,11.259,0,0,0
166.37,13,100,140.227,2.137,12.797,0,0,0
174.839,13,100,147.273,2.128,12.669,0,0,0
166.925,13,100,139.26,2.06,12.818,0,0,0
173.227,13,100,145.942,2.219,13.171,0,0,0
179.429,13,100,146.445,2.095,12.68,0,0,0
173.25,13,100,143.561,2.235,15.431,0,0,0
174.817,13,100,146.805,2.06,13.134,0,0,0
174.845,13,100,147.64,2.043,12.758,0,0,0
167.227,13,100,140.301,2.171,13.42,0,0,0
167.545,13,100,141.082,2.194,12.959,0,0,0
173.099,13,100,146.832,2.111,11.953,0,0,0
164.488,13,100,138.385,2.133,11.951,0,0,0
155.182,12,100,130.845,1.679,11.501,0,0,0
153.465,12,100,128.731,1.781,11.994,0,0,0
150.792,12,100,126.991,1.741,11.148,0,0,0
144.738,12,100,120.679,1.742,10.729,0,0,0
139.936,12,100,118.024,1.73,10.571,0,0,0
139.846,12,100,116.286,1.788,10.664,0,0,0
140.185,12,100,119.348,1.746,9.651,0,0,0
129.455,12,100,110.454,1.795,8.806,0,0,0
133.531,12,100,113.344,1.768,9.29,0,0,0
133.765,12,100,113.701,1.74,9.281,0,0,0
137.855,12,100,117.93,1.762,9.319,0,0,0
134.931,12,100,114.568,1.727,9.632,0,0,0
123.985,12,100,104.774,1.739,8.969,0,0,0
125.89,12,100,106.822,1.704,9.202,0,0,0
128.126,12,100,108.924,1.842,8.724,0,0,0
129.903,12,100,110.089,1.745,9.459,0,0,0
142.734,13,100,121.127,2.242,10.461,0,0,0
130.272,12,100,110.781,1.694,9.143,0,0,0
128.027,12,100,107.032,1.783,9.043,0,0,0
124.57,12,100,105.938,1.707,8.664,0,0,0
128.006,12,100,107.702,1.765,9.904,0,0,0
137.093,12,100,115.761,1.631,9.154,0,0,0
124.11,12,100,105.653,1.684,8.776,0,0,0
126.078,12,100,107.473,1.839,8.731,0,0,0
128.689,12,100,110.07,1.673,8.74,0,0,0
133.023,12,100,113.634,1.68,8.941,0,0,0
138.019,12,100,117.538,1.723,9.569,0,0,0
142.216,12,100,120.582,1.891,10.312,0,0,0
155.338,12,100,131.592,1.753,11.815,0,0,0
170.994,15,100,146.364,2.715,11.93,0,0,0
156.856,14,100,134.66,2.283,10.024,0,0,0
138.226,12,100,117.59,1.737,10.008,0,0,0
