Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
1627.36,0.223409,15.1091,164.581,100,141.904,3.44391,9.97133,0
1685.72,0.220276,14.8475,153.173,100,132.099,3.2231,9.31395,0
734.175,0.0342461,14.9815,169.917,100,145.561,3.40419,10.6317,0
1193.06,0.174913,13.7937,143.811,100,123.846,2.85324,8.82643,0
1070.42,0.144176,13.5333,151.084,100,129.144,2.78028,9.8918,0
943.233,0.0802256,13.4138,158.941,100,135.58,2.7049,10.4289,0
1073.72,0.049011,13.3065,146.893,100,125.493,2.64494,9.64968,0
1213.39,0.102487,13.0833,152.171,100,128.811,2.69218,10.5366,0
1516.94,0.206837,14.0847,153.124,100,131.958,3.03393,9.44947,0
798.349,0.110402,14.6491,159.695,100,137.279,3.23146,9.86454,0
1848.65,0.250836,14.0156,140.468,100,120.665,2.90122,8.73477,0
1866.09,0.241633,14.1186,153.957,100,132.427,2.99656,9.57729,0
1509.21,0.0653658,13,155.239,100,130.267,2.67025,11.3174,0
876.254,0.0372039,13.9492,155.856,100,133.176,2.96608,10.1368,0
1018.4,0.168175,13.2742,144.397,100,123.424,2.6461,9.39623,0
